locus_id	expression_orphan_locus	gene	gene_symbol	gene_name_gencode	tier	chain_score	cpg	cpg_gwas_pp4	pp_h4	n_shared	cpg_tss_dist	direct_expression_pp4
1-rs10559	False	ENSG00000163357	DCST1	DCST1	high	0.982735100039383	cg06221963	0.982735100039383	0.988935989494506	379.0	166487.0	0.813120058988831
1-rs10559	False	ENSG00000143578	CREB3L4	CREB3L4	high	0.981533702747237	cg05761535	0.981533702747237	0.989206435116565	93.0	180315.0	0.732301024400645
1-rs10559	False	ENSG00000143552	NUP210L	NUP210L	high	0.978922295914885	cg05761535	0.981533702747237	0.978922295914885	93.0	367897.0	0.0995742907875405
1-rs10559	False	ENSG00000143603	KCNN3	KCNN3	high	0.965853269533755	cg06950309	0.980147525676911	0.965853269533755	371.0	558.0	0.194609746538239
1-rs10559	False	ENSG00000143614	GATAD2B	GATAD2B	high	0.94255584895763	cg05761535	0.981533702747237	0.94255584895763	93.0	135756.0	0.763126047912439
1-rs10559	False	ENSG00000143612	C1orf43	C1orf43	high	0.915239972675059	cg14859874	0.915239972675059	0.940678547350243	40.0	45161.0	0.241625119652285
1-rs10559	False	ENSG00000160685	ZBTB7B	ZBTB7B	high	0.900687328580069	cg22495191	0.900687328580069	0.97755154184945	391.0	140834.0	0.564816871298231
1-rs10559	False	ENSG00000169231	THBS3	THBS3	high	0.900687328580069	cg22495191	0.900687328580069	0.997299785268934	391.0	344549.0	0.659403077591515
1-rs10559	False	ENSG00000184330	S100A7A	S100A7A	high	0.853421202824961	cg26008365	0.853421202824961	0.891501162808025	174.0	569797.0	0.608787267428231
1-rs10559	False	ENSG00000163344	PMVK	PMVK	high	0.826545890276468	cg14980020	0.826545890276468	0.858189428645098	41.0	82795.0	0.161769172991455
1-rs10559	False	ENSG00000163354	DCST2	DCST2	high	0.826545890276468	cg14980020	0.826545890276468	0.995312310791506	41.0	13995.0	0.819811619136094
1-rs10559	False	ENSG00000160710	ADAR	ADAR	high	0.80702982149157	cg03040522	0.80702982149157	0.989885803457419	315.0	823.0	0.0994805728720594
1-rs10559	False	ENSG00000163346	PBXIP1	PBXIP1	high	0.802664712286023	cg14980020	0.826545890276468	0.802664712286023	41.0	63663.0	0.16757744084782
1-rs10559	False	ENSG00000143575	HAX1	HAX1	suggestive	0.768833924771514	cg15831722	0.978213143247978	0.768833924771514	29.0	324640.0	0.322108746045303
1-rs10559	False	ENSG00000198837	DENND4B	DENND4B	suggestive	0.749942563597255	cg15831722	0.978213143247978	0.749942563597255	29.0	1175.0	0.14498982180453
1-rs10559	False	ENSG00000159527	PGLYRP3	PGLYRP3	suggestive	0.716302248253534	cg26008365	0.853421202824961	0.716302248253534	174.0	675603.0	0.392775371541524
1-rs11122119	True	ENSG00000215788	TNFRSF25	TNFRSF25	suggestive	0.696895431705831	cg05389555	0.985197408716899	0.696895431705831	30.0	133249.0	0.0974584582002938
1-rs11122119	True	ENSG00000007923	DNAJC11	DNAJC11	suggestive	0.693466972804087	cg19508900	0.889786948408894	0.693466972804087	346.0	122246.0	0.115220864314969
1-rs12126806	False	ENSG00000162702	ZNF281	ZNF281	high	0.940211409917711	cg22450933	0.992116850826278	0.940211409917711	352.0	3941.0	0.852757147107456
1-rs12126806	False	ENSG00000118197	DDX59	DDX59	high	0.926649784892004	cg07344172	0.932915454758797	0.926649784892004	464.0	341391.0	0.0411121879774144
1-rs12126806	False	ENSG00000170128	GPR25	GPR25	high	0.923596097324353	cg07344172	0.932915454758797	0.923596097324353	464.0	138405.0	0.075425888593114
1-rs12126806	False	ENSG00000118193	KIF14	KIF14	suggestive	0.583091412279528	cg22450933	0.992116850826278	0.583091412279528	352.0	206737.0	3.54376539561634e-06
